step,avg_reward,loss,avg_distance,avg_dt,in_bounds_percent
256,0.6647,117.5696,19.7265,0.0119,91.0
512,0.3483,66.0273,21.7634,0.0206,71.5
768,0.5786,88.1678,19.7586,0.0263,85.2
1024,0.4201,55.2298,19.2498,0.0251,73.4
1280,0.6306,104.8205,18.9648,0.0111,88.3
1536,0.6577,120.0239,18.8242,0.0117,89.8
1792,0.5864,109.3869,19.5566,0.0115,85.5
2048,0.4751,64.7706,19.6863,0.0118,78.1
2304,0.7508,150.4864,17.7760,0.0115,95.3
2560,0.3629,46.7311,19.4080,0.0113,69.5
2816,0.6831,144.5686,21.7640,0.0103,95.7
3072,0.7241,139.8839,18.3261,0.0117,93.8
3328,0.6384,112.6166,18.4257,0.0116,88.3
3584,0.3945,48.2206,18.5179,0.0113,71.1
3840,0.6359,130.6395,21.3727,0.0114,92.2
4096,0.6719,137.4013,20.6005,0.0112,93.8
4352,0.5332,91.5393,19.9064,0.0117,83.2
4608,0.5604,116.9652,21.0046,0.0114,86.7
4864,0.4913,72.7140,18.6166,0.0113,78.1
5120,0.6590,136.7372,20.4097,0.0113,93.0
5376,0.6912,149.9693,20.0579,0.0114,94.9
5632,0.6444,125.9379,19.9585,0.0114,91.4
5888,0.5366,112.8110,20.6763,0.0114,84.0
6144,0.4159,79.9807,22.0800,0.0115,77.3
6400,0.3948,85.9568,21.4552,0.0115,74.6
6656,0.5653,109.9523,19.3513,0.0115,85.2
6912,0.5904,116.2461,19.7051,0.0115,87.9
7168,0.6239,124.5860,20.8502,0.0110,91.0
7424,0.6871,125.3238,18.3255,0.0112,91.4
7680,0.5031,80.8348,18.8669,0.0116,79.7
7936,0.6620,153.0897,20.4209,0.0128,93.4
8192,0.6894,135.3043,17.7473,0.0114,91.8
8448,0.4393,86.9337,22.8763,0.0115,80.9
8704,0.5890,110.5200,20.8465,0.0117,88.7
8960,0.3356,75.5482,24.3948,0.0114,74.2
9216,0.7516,144.3366,17.7847,0.0112,95.3
9472,0.6175,158.7444,25.4304,0.0118,96.5
9728,0.7336,163.5679,20.9581,0.0114,98.4
9984,0.6061,107.6152,18.1316,0.0114,86.7
10240,0.4998,91.7902,22.3716,0.0115,84.0
10496,0.6510,138.3084,21.1353,0.0108,93.0
10752,0.4863,77.2963,20.0474,0.0118,80.1
11008,0.5869,114.5575,22.8314,0.0114,90.2
11264,0.6156,132.6655,21.5423,0.0114,91.4
11520,0.6491,128.4048,21.3497,0.0114,93.0
11776,0.5434,100.6580,19.5291,0.0115,83.2
12032,0.6678,143.3269,21.9957,0.0112,95.3
12288,0.4403,81.6678,23.1028,0.0117,80.1
12544,0.5869,109.1778,20.9150,0.0116,88.7
12800,0.7335,146.8224,18.9844,0.0113,95.7
13056,0.7658,147.3382,17.7404,0.0114,96.1
13312,0.7003,146.5040,20.5039,0.0112,95.3
13568,0.4319,66.1230,19.1946,0.0115,74.6
13824,0.4128,66.8157,21.5336,0.0117,76.6
14080,0.5789,122.4557,21.6413,0.0113,88.3
14336,0.6378,121.3926,19.9110,0.0112,90.2
14592,0.5707,143.4800,25.6787,0.0112,93.8
14848,0.6183,117.1109,20.8206,0.0113,90.2
15104,0.4367,66.6693,21.2397,0.0115,77.7
15360,0.6334,123.2249,20.6756,0.0114,91.4
15616,0.4778,81.4712,21.3792,0.0115,81.2
15872,0.6029,146.1198,25.3896,0.0111,95.3
16128,0.5010,77.7956,21.7020,0.0116,83.2
16384,0.4742,69.2559,19.5585,0.0115,77.7
16640,0.6360,119.1691,20.8931,0.0115,91.4
16896,0.5561,101.6411,21.8034,0.0114,86.7
17152,0.5897,121.2923,20.7515,0.0112,87.9
17408,0.5994,129.2423,20.5330,0.0114,88.7
17664,0.5386,110.5775,19.2395,0.0119,82.4
17920,0.5795,109.3663,21.5184,0.0113,88.3
18176,0.5336,101.6887,21.6644,0.0116,85.2
18432,0.4384,53.1098,18.2463,0.0114,73.8
18688,0.6640,132.4465,20.2357,0.0116,93.0
18944,0.6805,144.2635,22.1253,0.0113,96.1
19200,0.4780,81.5730,22.0543,0.0114,81.6
19456,0.6665,132.4961,20.7070,0.0113,93.8
19712,0.5091,80.7533,19.0632,0.0118,79.7
19968,0.5921,108.3167,20.0806,0.0114,88.3
20224,0.5242,101.2260,19.0722,0.0116,80.9
20480,0.6455,127.3010,17.0547,0.0114,87.1
20736,0.5930,106.3718,22.5325,0.0118,90.2
20992,0.6257,130.3727,22.1633,0.0113,92.2
21248,0.5341,77.0113,19.5974,0.0119,82.4
21504,0.6423,146.4364,22.8186,0.0115,94.9
21760,0.6718,127.0758,19.9030,0.0115,92.6
22016,0.6071,105.9323,19.2221,0.0115,87.5
22272,0.7595,162.9047,19.4572,0.0102,98.4
22528,0.6763,131.5302,19.9871,0.0115,93.4
22784,0.6528,128.3979,20.9946,0.0115,93.4
