step,avg_reward,loss,avg_distance,avg_dt,in_bounds_percent
256,0.6401,0.0000,17.1291,0.0114,96.9
512,0.9784,0.0000,2.1596,0.0113,100.0
768,0.7997,0.0000,3.3750,0.0117,87.1
1024,0.9590,0.0000,3.5656,0.0119,99.6
1280,0.9706,0.0000,2.9368,0.0117,100.0
1536,0.7832,0.0000,3.3434,0.0114,85.9
1792,0.9222,0.0000,4.1309,0.0121,97.3
2048,0.9475,0.0000,3.6828,0.0118,98.8
2304,0.9687,0.0000,3.1267,0.0115,100.0
2560,0.9745,0.0000,2.5545,0.0112,100.0
2816,0.9729,0.0000,2.7147,0.0113,100.0
3072,0.9715,0.0000,2.8466,0.0116,100.0
3328,0.9750,0.0000,2.5018,0.0110,100.0
3584,0.9724,0.0000,2.7641,0.0113,100.0
3840,0.9586,0.0000,3.1293,0.0117,99.2
4096,0.7180,0.0000,4.7597,0.0120,82.0
4352,0.9518,0.0000,3.7353,0.0114,99.2
4608,0.9723,0.0000,2.7743,0.0115,100.0
4864,0.9603,0.0000,3.4221,0.0119,99.6
5120,0.6420,0.0000,6.3774,0.0183,77.7
5376,0.9525,0.0000,4.7489,0.0268,100.0
5632,0.9561,0.0000,4.3928,0.0266,100.0
5888,0.9508,0.0000,4.9190,0.0263,100.0
6144,0.9526,0.0000,4.7361,0.0268,100.0
6400,0.8844,0.0000,5.8396,0.0263,95.7
6656,0.8745,0.0000,7.2368,0.0263,96.1
6912,0.6298,0.0000,7.7140,0.0233,78.5
7168,0.9417,0.0000,5.8349,0.0261,100.0
7424,0.9444,0.0000,5.5632,0.0260,100.0
7680,0.9489,0.0000,5.1083,0.0267,100.0
7936,0.6346,0.0000,8.2323,0.0261,78.9
8192,0.9032,0.0000,9.6759,0.0247,100.0
8448,0.9146,0.0000,8.0160,0.0272,99.6
8704,0.7116,0.0000,9.3458,0.0262,85.5
8960,0.8947,0.0000,9.9788,0.0264,99.6
9216,0.9153,0.0000,8.4716,0.0260,100.0
9472,0.8181,0.0000,11.1903,0.0260,94.9
9728,0.8865,0.0000,11.3541,0.0256,100.0
9984,0.8111,0.0000,10.2482,0.0264,93.8
10240,0.8328,0.0000,12.9873,0.0270,97.3
10496,0.8888,0.0000,10.6340,0.0270,99.6
10752,0.4669,0.0000,14.5400,0.0262,72.3
11008,0.8619,0.0000,13.8104,0.0272,100.0
11264,0.8528,0.0000,13.5948,0.0266,99.2
11520,0.7691,0.0000,13.6360,0.0268,93.4
11776,0.2475,0.0000,20.0789,0.0267,61.7
12032,0.7024,0.0000,12.9897,0.0268,87.9
12288,0.7271,0.0000,14.0833,0.0262,90.6
12544,0.5337,0.0000,15.3664,0.0266,77.7
12800,0.8127,0.0000,13.2814,0.0269,96.1
13056,0.8270,0.0000,14.5042,0.0266,98.0
13312,0.6846,0.0000,14.2439,0.0265,87.5
13568,0.8662,0.0000,13.3763,0.0258,100.0
13824,0.3179,0.0000,15.2965,0.0264,62.5
14080,0.8608,0.0000,13.4003,0.0257,99.6
14336,0.8454,0.0000,14.3563,0.0260,99.2
14592,0.4782,0.0000,13.8355,0.0255,72.7
14848,0.6364,0.0000,15.6731,0.0262,85.2
15104,0.8081,0.0000,14.2677,0.0272,96.5
15360,0.8652,0.0000,12.9607,0.0268,99.6
15616,0.8648,0.0000,13.5224,0.0261,100.0
15872,0.8566,0.0000,14.3412,0.0270,100.0
16128,0.7504,0.0000,16.2263,0.0266,94.5
16384,0.7821,0.0000,15.8416,0.0273,97.3
