step,avg_reward,loss,avg_distance,avg_dt,in_bounds_percent
256,0.3914,0.0000,19.3915,0.0129,71.9
512,-2.1216,6.9703,129.6945,0.0264,41.4
768,-2.3678,22.0507,159.2324,0.0265,55.1
1024,-0.1713,29.0927,68.9540,0.0339,91.8
1280,0.0606,23.8410,58.2273,0.0334,88.3
1536,-0.5656,33.0032,84.1655,0.0352,73.0
1792,0.3389,20.1874,41.7514,0.0322,89.5
2048,-0.8340,30.1385,101.4902,0.0276,82.4
2304,-0.4001,18.7005,65.6847,0.0354,71.9
2560,-1.7719,45.1225,140.6483,0.0283,78.1
2816,-1.9606,28.2665,155.2615,0.0332,78.5
